hour_of_day,transactions,fraud_transactions,fraud_rate_percent,transaction_amount,fraud_amount
0,7695,6,0.078,464208.26,1820.07
1,4220,10,0.237,264325.45,1279.32
2,3328,57,1.7127,233820.68,4517.98
3,3492,17,0.4868,181852.16,233.91
4,2209,23,1.0412,170179.23,1548.2
5,2990,11,0.3679,151520.18,1416.67
6,4101,9,0.2195,266812.2,1007.32
7,7243,23,0.3175,491209.1,2757.78
8,10276,9,0.0876,912213.29,430.99
9,15838,16,0.101,1628829.82,1255.41
10,16598,8,0.0482,1820354.38,2349.61
11,16856,53,0.3144,1847641.57,6570.73
12,15420,17,0.1102,1635221.81,3406.54
13,15365,17,0.1106,1520510.55,2194.48
14,16570,23,0.1388,1715632.94,3641.12
15,16461,26,0.1579,1679009.61,2234.09
16,16453,22,0.1337,1702609.91,4505.45
17,16166,29,0.1794,1589499.95,3373.5
18,17039,33,0.1937,1316311.34,6345.14
19,15649,19,0.1214,1220410.35,2114.63
20,16756,18,0.1074,1249073.1,1510.41
21,17703,16,0.0904,1268615.18,1029.5
22,15441,9,0.0583,1078955.79,1442.0
23,10938,21,0.192,753773.16,3143.12
